#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
1.204e+00	1.030e-06	-4.683e+01	2.232e+00	1.630e-01	6.845e+00
1.192e+00	1.040e-06	-4.788e+01	2.291e+00	1.655e-01	6.922e+00
1.181e+00	1.050e-06	-4.895e+01	2.351e+00	1.680e-01	6.999e+00
1.170e+00	1.060e-06	-5.003e+01	2.413e+00	1.705e-01	7.075e+00
1.159e+00	1.070e-06	-5.112e+01	2.476e+00	1.731e-01	7.152e+00
1.148e+00	1.080e-06	-5.222e+01	2.540e+00	1.757e-01	7.228e+00
1.137e+00	1.090e-06	-5.332e+01	2.605e+00	1.783e-01	7.304e+00
1.127e+00	1.100e-06	-5.444e+01	2.672e+00	1.810e-01	7.380e+00
1.117e+00	1.110e-06	-5.556e+01	2.740e+00	1.837e-01	7.456e+00
1.107e+00	1.120e-06	-5.670e+01	2.809e+00	1.865e-01	7.532e+00
1.097e+00	1.130e-06	-5.784e+01	2.880e+00	1.893e-01	7.608e+00
1.088e+00	1.140e-06	-5.899e+01	2.952e+00	1.921e-01	7.683e+00
1.078e+00	1.150e-06	-6.016e+01	3.025e+00	1.949e-01	7.759e+00
1.069e+00	1.160e-06	-6.133e+01	3.099e+00	1.978e-01	7.834e+00
1.060e+00	1.170e-06	-6.251e+01	3.175e+00	2.007e-01	7.909e+00
1.051e+00	1.180e-06	-6.370e+01	3.252e+00	2.036e-01	7.984e+00
1.042e+00	1.190e-06	-6.490e+01	3.330e+00	2.066e-01	8.059e+00
1.033e+00	1.200e-06	-6.611e+01	3.410e+00	2.096e-01	8.134e+00
1.025e+00	1.210e-06	-6.733e+01	3.490e+00	2.126e-01	8.208e+00
1.016e+00	1.220e-06	-6.856e+01	3.573e+00	2.157e-01	8.283e+00
1.008e+00	1.230e-06	-6.980e+01	3.656e+00	2.187e-01	8.358e+00
9.999e-01	1.240e-06	-7.105e+01	3.741e+00	2.218e-01	8.432e+00
9.919e-01	1.250e-06	-7.231e+01	3.827e+00	2.250e-01	8.506e+00
9.840e-01	1.260e-06	-7.357e+01	3.915e+00	2.281e-01	8.581e+00
9.763e-01	1.270e-06	-7.485e+01	4.004e+00	2.313e-01	8.655e+00
9.686e-01	1.280e-06	-7.607e+01	4.087e+00	2.342e-01	8.725e+00
9.611e-01	1.290e-06	-7.730e+01	4.171e+00	2.371e-01	8.795e+00
9.537e-01	1.300e-06	-7.853e+01	4.256e+00	2.400e-01	8.865e+00
9.464e-01	1.310e-06	-7.978e+01	4.343e+00	2.430e-01	8.935e+00
9.393e-01	1.320e-06	-8.103e+01	4.430e+00	2.460e-01	9.005e+00
9.322e-01	1.330e-06	-8.229e+01	4.519e+00	2.490e-01	9.075e+00
9.253e-01	1.340e-06	-8.356e+01	4.609e+00	2.520e-01	9.145e+00
9.184e-01	1.350e-06	-8.484e+01	4.700e+00	2.551e-01	9.214e+00
8.670e-01	1.430e-06	-9.587e+01	5.533e+00	2.824e-01	9.796e+00
8.610e-01	1.440e-06	-9.723e+01	5.636e+00	2.857e-01	9.865e+00
8.551e-01	1.450e-06	-9.859e+01	5.740e+00	2.889e-01	9.934e+00
8.492e-01	1.460e-06	-9.996e+01	5.845e+00	2.922e-01	1.000e+01
8.434e-01	1.470e-06	-1.013e+02	5.952e+00	2.955e-01	1.007e+01
8.377e-01	1.480e-06	-1.027e+02	6.059e+00	2.988e-01	1.014e+01
8.321e-01	1.490e-06	-1.041e+02	6.169e+00	3.021e-01	1.021e+01
8.266e-01	1.500e-06	-1.055e+02	6.279e+00	3.055e-01	1.028e+01
8.211e-01	1.510e-06	-1.069e+02	6.391e+00	3.089e-01	1.035e+01
8.157e-01	1.520e-06	-1.084e+02	6.504e+00	3.123e-01	1.041e+01
8.104e-01	1.530e-06	-1.098e+02	6.618e+00	3.157e-01	1.048e+01
8.051e-01	1.540e-06	-1.112e+02	6.734e+00	3.191e-01	1.055e+01
7.999e-01	1.550e-06	-1.127e+02	6.851e+00	3.226e-01	1.062e+01
7.948e-01	1.560e-06	-1.141e+02	6.969e+00	3.260e-01	1.069e+01
7.897e-01	1.570e-06	-1.156e+02	7.089e+00	3.295e-01	1.076e+01
7.847e-01	1.580e-06	-1.170e+02	7.210e+00	3.331e-01	1.082e+01
7.798e-01	1.590e-06	-1.185e+02	7.333e+00	3.366e-01	1.089e+01
7.749e-01	1.600e-06	-1.200e+02	7.457e+00	3.402e-01	1.096e+01
7.701e-01	1.610e-06	-1.215e+02	7.582e+00	3.437e-01	1.103e+01
7.653e-01	1.620e-06	-1.230e+02	7.709e+00	3.474e-01	1.110e+01
7.606e-01	1.630e-06	-1.245e+02	7.837e+00	3.510e-01	1.116e+01
7.560e-01	1.640e-06	-1.260e+02	7.966e+00	3.546e-01	1.123e+01
7.514e-01	1.650e-06	-1.276e+02	8.098e+00	3.583e-01	1.130e+01
7.469e-01	1.660e-06	-1.291e+02	8.230e+00	3.620e-01	1.137e+01
7.424e-01	1.670e-06	-1.306e+02	8.364e+00	3.657e-01	1.144e+01
7.380e-01	1.680e-06	-1.322e+02	8.500e+00	3.695e-01	1.150e+01
7.336e-01	1.690e-06	-1.337e+02	8.637e+00	3.732e-01	1.157e+01
7.293e-01	1.700e-06	-1.353e+02	8.776e+00	3.770e-01	1.164e+01
7.251e-01	1.710e-06	-1.369e+02	8.916e+00	3.808e-01	1.171e+01
7.208e-01	1.720e-06	-1.385e+02	9.058e+00	3.847e-01	1.177e+01
7.167e-01	1.730e-06	-1.401e+02	9.201e+00	3.885e-01	1.184e+01
7.126e-01	1.740e-06	-1.417e+02	9.346e+00	3.924e-01	1.191e+01
7.085e-01	1.750e-06	-1.433e+02	9.493e+00	3.963e-01	1.198e+01
7.045e-01	1.760e-06	-1.449e+02	9.642e+00	4.003e-01	1.204e+01
7.005e-01	1.770e-06	-1.465e+02	9.791e+00	4.042e-01	1.211e+01
6.965e-01	1.780e-06	-1.482e+02	9.943e+00	4.082e-01	1.218e+01
6.926e-01	1.790e-06	-1.498e+02	1.010e+01	4.123e-01	1.225e+01
6.888e-01	1.800e-06	-1.514e+02	1.025e+01	4.163e-01	1.231e+01
6.850e-01	1.810e-06	-1.531e+02	1.041e+01	4.204e-01	1.238e+01
6.812e-01	1.820e-06	-1.548e+02	1.057e+01	4.245e-01	1.245e+01
6.775e-01	1.830e-06	-1.564e+02	1.073e+01	4.286e-01	1.252e+01
6.738e-01	1.840e-06	-1.581e+02	1.089e+01	4.328e-01	1.258e+01
6.702e-01	1.850e-06	-1.598e+02	1.105e+01	4.369e-01	1.265e+01
6.666e-01	1.860e-06	-1.615e+02	1.122e+01	4.412e-01	1.272e+01
6.630e-01	1.870e-06	-1.632e+02	1.139e+01	4.454e-01	1.278e+01
6.595e-01	1.880e-06	-1.650e+02	1.156e+01	4.497e-01	1.285e+01
6.560e-01	1.890e-06	-1.667e+02	1.173e+01	4.540e-01	1.292e+01
6.525e-01	1.900e-06	-1.684e+02	1.190e+01	4.583e-01	1.299e+01
6.491e-01	1.910e-06	-1.702e+02	1.208e+01	4.627e-01	1.305e+01
6.457e-01	1.920e-06	-1.719e+02	1.226e+01	4.671e-01	1.312e+01
6.424e-01	1.930e-06	-1.737e+02	1.244e+01	4.715e-01	1.319e+01
6.391e-01	1.940e-06	-1.754e+02	1.262e+01	4.760e-01	1.325e+01
6.358e-01	1.950e-06	-1.772e+02	1.280e+01	4.805e-01	1.332e+01
6.326e-01	1.960e-06	-1.790e+02	1.299e+01	4.851e-01	1.339e+01
6.294e-01	1.970e-06	-1.808e+02	1.318e+01	4.896e-01	1.346e+01
6.262e-01	1.980e-06	-1.826e+02	1.337e+01	4.942e-01	1.352e+01
6.230e-01	1.990e-06	-1.844e+02	1.356e+01	4.989e-01	1.359e+01
6.199e-01	2.000e-06	-1.860e+02	1.373e+01	5.031e-01	1.365e+01
6.179e-01	2.007e-06	-1.875e+02	1.389e+01	5.068e-01	1.370e+01
6.141e-01	2.019e-06	-1.899e+02	1.415e+01	5.129e-01	1.379e+01
6.121e-01	2.025e-06	-1.912e+02	1.428e+01	5.160e-01	1.384e+01
6.083e-01	2.038e-06	-1.937e+02	1.455e+01	5.224e-01	1.393e+01
6.064e-01	2.045e-06	-1.949e+02	1.469e+01	5.256e-01	1.397e+01
6.026e-01	2.058e-06	-1.975e+02	1.497e+01	5.321e-01	1.406e+01
6.007e-01	2.064e-06	-1.988e+02	1.511e+01	5.354e-01	1.411e+01
5.969e-01	2.077e-06	-2.015e+02	1.540e+01	5.421e-01	1.420e+01
5.949e-01	2.084e-06	-2.028e+02	1.555e+01	5.455e-01	1.425e+01
