#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
1.204e+00	1.030e-06	-4.937e+01	2.624e+00	1.866e-01	7.029e+00
1.192e+00	1.040e-06	-5.048e+01	2.693e+00	1.894e-01	7.108e+00
1.181e+00	1.050e-06	-5.161e+01	2.763e+00	1.923e-01	7.186e+00
1.170e+00	1.060e-06	-5.274e+01	2.835e+00	1.951e-01	7.265e+00
1.159e+00	1.070e-06	-5.389e+01	2.909e+00	1.980e-01	7.344e+00
1.148e+00	1.080e-06	-5.505e+01	2.984e+00	2.010e-01	7.422e+00
1.137e+00	1.090e-06	-5.621e+01	3.060e+00	2.040e-01	7.500e+00
1.127e+00	1.100e-06	-5.739e+01	3.138e+00	2.070e-01	7.578e+00
1.117e+00	1.110e-06	-5.857e+01	3.217e+00	2.101e-01	7.656e+00
1.107e+00	1.120e-06	-5.977e+01	3.298e+00	2.132e-01	7.734e+00
1.097e+00	1.130e-06	-6.097e+01	3.380e+00	2.163e-01	7.811e+00
1.088e+00	1.140e-06	-6.219e+01	3.463e+00	2.195e-01	7.889e+00
1.078e+00	1.150e-06	-6.341e+01	3.549e+00	2.227e-01	7.966e+00
1.069e+00	1.160e-06	-6.465e+01	3.635e+00	2.260e-01	8.043e+00
1.060e+00	1.170e-06	-6.589e+01	3.723e+00	2.292e-01	8.121e+00
1.051e+00	1.180e-06	-6.715e+01	3.813e+00	2.325e-01	8.198e+00
1.042e+00	1.190e-06	-6.841e+01	3.904e+00	2.359e-01	8.274e+00
1.033e+00	1.200e-06	-6.968e+01	3.996e+00	2.392e-01	8.351e+00
1.025e+00	1.210e-06	-7.097e+01	4.090e+00	2.426e-01	8.428e+00
1.016e+00	1.220e-06	-7.226e+01	4.185e+00	2.461e-01	8.504e+00
1.008e+00	1.230e-06	-7.357e+01	4.282e+00	2.495e-01	8.581e+00
9.999e-01	1.240e-06	-7.488e+01	4.380e+00	2.530e-01	8.657e+00
9.919e-01	1.250e-06	-7.620e+01	4.480e+00	2.565e-01	8.733e+00
9.840e-01	1.260e-06	-7.754e+01	4.582e+00	2.600e-01	8.809e+00
9.763e-01	1.270e-06	-7.888e+01	4.684e+00	2.636e-01	8.885e+00
9.686e-01	1.280e-06	-8.023e+01	4.789e+00	2.672e-01	8.961e+00
9.611e-01	1.290e-06	-8.160e+01	4.895e+00	2.708e-01	9.037e+00
9.537e-01	1.300e-06	-8.297e+01	5.002e+00	2.744e-01	9.113e+00
9.464e-01	1.310e-06	-8.435e+01	5.111e+00	2.781e-01	9.189e+00
9.393e-01	1.320e-06	-8.571e+01	5.211e+00	2.813e-01	9.262e+00
9.322e-01	1.330e-06	-8.708e+01	5.313e+00	2.845e-01	9.336e+00
9.253e-01	1.340e-06	-8.846e+01	5.416e+00	2.878e-01	9.410e+00
9.184e-01	1.350e-06	-8.985e+01	5.520e+00	2.910e-01	9.483e+00
8.670e-01	1.430e-06	-1.015e+02	6.481e+00	3.214e-01	1.008e+01
8.610e-01	1.440e-06	-1.030e+02	6.598e+00	3.249e-01	1.015e+01
8.551e-01	1.450e-06	-1.045e+02	6.716e+00	3.284e-01	1.023e+01
8.492e-01	1.460e-06	-1.059e+02	6.836e+00	3.319e-01	1.030e+01
8.434e-01	1.470e-06	-1.074e+02	6.957e+00	3.355e-01	1.037e+01
8.377e-01	1.480e-06	-1.089e+02	7.080e+00	3.390e-01	1.044e+01
8.321e-01	1.490e-06	-1.104e+02	7.204e+00	3.426e-01	1.051e+01
8.266e-01	1.500e-06	-1.119e+02	7.330e+00	3.462e-01	1.059e+01
8.211e-01	1.510e-06	-1.135e+02	7.457e+00	3.498e-01	1.066e+01
8.157e-01	1.520e-06	-1.150e+02	7.585e+00	3.535e-01	1.073e+01
8.104e-01	1.530e-06	-1.165e+02	7.715e+00	3.571e-01	1.080e+01
8.051e-01	1.540e-06	-1.181e+02	7.847e+00	3.608e-01	1.087e+01
7.999e-01	1.550e-06	-1.196e+02	7.980e+00	3.646e-01	1.094e+01
7.948e-01	1.560e-06	-1.212e+02	8.114e+00	3.683e-01	1.102e+01
7.897e-01	1.570e-06	-1.228e+02	8.250e+00	3.721e-01	1.109e+01
7.847e-01	1.580e-06	-1.244e+02	8.388e+00	3.759e-01	1.116e+01
7.798e-01	1.590e-06	-1.260e+02	8.527e+00	3.797e-01	1.123e+01
7.749e-01	1.600e-06	-1.276e+02	8.668e+00	3.835e-01	1.130e+01
7.701e-01	1.610e-06	-1.292e+02	8.811e+00	3.874e-01	1.137e+01
7.653e-01	1.620e-06	-1.308e+02	8.955e+00	3.913e-01	1.144e+01
7.606e-01	1.630e-06	-1.324e+02	9.100e+00	3.952e-01	1.151e+01
7.560e-01	1.640e-06	-1.340e+02	9.248e+00	3.991e-01	1.158e+01
7.514e-01	1.650e-06	-1.357e+02	9.397e+00	4.031e-01	1.166e+01
7.469e-01	1.660e-06	-1.373e+02	9.548e+00	4.071e-01	1.173e+01
7.424e-01	1.670e-06	-1.390e+02	9.701e+00	4.112e-01	1.180e+01
7.380e-01	1.680e-06	-1.407e+02	9.855e+00	4.152e-01	1.187e+01
7.336e-01	1.690e-06	-1.423e+02	1.001e+01	4.193e-01	1.194e+01
7.293e-01	1.700e-06	-1.440e+02	1.017e+01	4.234e-01	1.201e+01
